"Sp1.TL1","Sp2.TL1","Sp3.TL1","Sp4.TL2","Sp5.TL3"
0.00101835551503542,0.00308641523791751,0.000147472999784268,0.0206716512521711,0.0167333408662927
0.000899881955880051,0.00261937207406934,0.000151112306900266,0.0180910548780196,0.0157132088556741
0.000672767857588657,0.00219974571639181,0.000146131671580608,0.0164077457207295,0.0146092133508033
0.000526178179715737,0.00204216699117275,0.000106529001028804,0.0142978353089152,0.0157585932995218
0.000474935938029776,0.0020181347993502,0.000117798093511615,0.0143541321734358,0.0168640195137209
0.000357558423562944,0.00170616236785172,9.56108485372876e-05,0.0132921146466928,0.0168499280832824
0.000322958760397346,0.00129888213903783,8.84709599234212e-05,0.010591872561379,0.0135168653373345
0.000287434008781448,0.00129091213553594,8.07660080207349e-05,0.0103919266627253,0.0131721803983745
0.000296436907929721,0.00143350356371254,7.7084107910784e-05,0.0101224513447971,0.0118790319513526
0.000260363199604523,0.00121806190164812,6.41068757076344e-05,0.00911843643428962,0.0108654126594752
0.000213634818040458,0.0011644906832098,5.98308193640261e-05,0.00840565834793499,0.0128549585626738
0.00019871971264759,0.00115750488581351,5.79253719431743e-05,0.00828152654920541,0.0125643835569434
0.000163499205790106,0.00119012810208969,5.90274963670729e-05,0.00809634588845263,0.0108582919661205
0.000152667971688529,0.00126584035957724,5.23782057279596e-05,0.00627558447257171,0.00991387462160461
0.000146117571391909,0.00122721423612402,5.45452707079189e-05,0.00608598823173152,0.00963604726601145
0.000136114254741925,0.00120874048869975,5.06617499286325e-05,0.00544261245924903,0.0110778048151319
0.000130445766691673,0.00112235946720558,4.97545840622562e-05,0.00604946249690029,0.00949713817098508
0.000145308563360715,0.000860196659766203,4.17642797578145e-05,0.00507864643663363,0.00790575277193703
0.000126722011531012,0.000818843463082366,5.06269746268507e-05,0.00495136002413198,0.00755080647813937
0.000103379942634435,0.000754616607166025,5.07849128668007e-05,0.00518623909374873,0.0078056548504257
9.36594289741407e-05,0.000740417225701656,5.67663372616585e-05,0.00516123262497569,0.00743212916164375
8.43655346734156e-05,0.00073287859911972,6.3641623026423e-05,0.00423083322756313,0.00736318463187022
8.45244188656156e-05,0.000680928935319109,5.33456259005272e-05,0.00356457700991892,0.00731349942095427
8.21936970240287e-05,0.000537419381271234,4.96476256260306e-05,0.00302871211095997,0.00674962714893503
8.80585785970684e-05,0.000494344257490883,4.83296223162871e-05,0.00310698537095838,0.0078569380445936
9.48496754036707e-05,0.000474355162101849,5.0681445737662e-05,0.00310047250769401,0.00850438766449415
0.000104280080869948,0.000519431777377976,4.62592408305525e-05,0.00301852373320624,0.0089829029232182
9.90603900754067e-05,0.000526626116450762,4.75952822620481e-05,0.00286525838073034,0.00785657601022653
0.00010050806463895,0.000510708458464007,5.41829638775814e-05,0.00251280881136337,0.0067372807615428
0.000106260345675904,0.000574914171926066,5.17631592518036e-05,0.00265826641483815,0.00647388791447456
8.83385013889429e-05,0.000552558345711643,4.89294347758566e-05,0.00245743079434942,0.00606506163164126
7.97917436343909e-05,0.000515491578567042,4.95829503225973e-05,0.00248585026463076,0.00609911184070188
7.06952723534594e-05,0.000618516586205097,5.03047674771056e-05,0.00227957636080633,0.0062120062208476
6.22472357194515e-05,0.000533265796713827,4.15334218844076e-05,0.00273042130099243,0.00567912558615266
6.91878219943558e-05,0.000513159500312265,4.87155019268238e-05,0.00241096967875497,0.00597029021558723
7.80719957470511e-05,0.000590624177939227,5.47859363600219e-05,0.00288584523516883,0.00544183791580879
6.20714125116789e-05,0.000624694145373055,5.58098615769597e-05,0.00316175411182725,0.00519127961075306
6.14625743348528e-05,0.000612374429840151,5.7636512619021e-05,0.00252309418160282,0.00505267910060755
5.62492241981988e-05,0.00060170680948737,5.09335280165797e-05,0.00273018486236149,0.00566045764844869
5.59100152592343e-05,0.000489250793761153,4.97394541817713e-05,0.00261507383739392,0.00533157695071554
5.71714864190261e-05,0.00037076094637277,5.46395669293081e-05,0.00225433385771073,0.0046985124721392
6.03176466910109e-05,0.000373456614022583,5.70094492600805e-05,0.00185020859185879,0.00467759991736372
5.68743147476451e-05,0.000322799353987443,6.33214353887891e-05,0.002091282363505,0.00459398326613416
4.92864049417554e-05,0.000341104774874692,6.684828742907e-05,0.00201188834844777,0.00483258906479323
4.74917851902545e-05,0.000304645620888244,7.45006318057372e-05,0.00185386363249733,0.00494049749920011
4.75279884169484e-05,0.000290689270220629,7.30482099598204e-05,0.00166581862562568,0.00490843978363908
4.33287508850927e-05,0.000292305611701865,6.50372239821325e-05,0.00160624532731273,0.00495145902753111
4.1672482194392e-05,0.000265429585129498,7.44466002487389e-05,0.00125644980885816,0.00461076690364679
3.73230731350554e-05,0.000283106709229084,8.11250018376674e-05,0.00144702920002432,0.00376925555670079
